"species_code","species_name","n_values"
"001","Heberdenia bahamensis",13
"007","Acacia spp.",239
"008","Phillyrea latifolia",107
"011","Ailanthus altissima",39
"013","Celtis australis",69
"014","Taxus baccata",105
"015","Crataegus spp.",47
"017","Cedrus atlantica",284
"018","Chamaecyparis lawsoniana",3436
"019","Otras coniferas",0
"021","Pinus sylvestris",420987
"022","Pinus uncinata",36397
"023","Pinus pinea",53477
"024","Pinus halepensis",185743
"025","Pinus nigra",214208
"026","Pinus pinaster",401689
"027","Pinus canariensis",56509
"028","Pinus radiata",106681
"029","Otros pinos",0
"031","Abies alba",11961
"032","Abies pinsapo",1124
"033","Picea abies",726
"034","Pseudotsuga menziesii",5055
"035","Larix spp.",4769
"036","Cupressus sempervirens",473
"037","Juniperus communis",495
"038","Juniperus thurifera",11657
"039","Juniperus phoenicea",344
"041","Quercus robur",32112
"042","Quercus petraea",17451
"043","Quercus pyrenaica",77778
"044","Quercus faginea",25156
"046","Quercus suber",4282
"047","Quercus canariensis",880
"048","Quercus rubra",2163
"049","Otros quercus",0
"051","Populus alba",2970
"052","Populus tremula",2057
"053","Tamarix spp.",42
"054","Alnus glutinosa",7084
"055","Fraxinus angustifolia",2240
"056","Ulmus minor",714
"057","Salix spp.",579
"058","Populus nigra",15370
"059","Otros arboles ripicolas",0
"061","Eucalyptus globulus",85645
"062","Eucalyptus camaldulensis",4846
"063","Otros eucaliptos",261
"064","Eucalyptus nitens",1496
"065","Ilex aquifolium",1048
"066","Olea europaea",58
"067","Ceratonia siliqua",6
"068","Arbutus unedo",322
"069","Phoenix spp.",15
"071","Fagus sylvatica",85639
"072","Castanea sativa",11811
"073","Betula spp.",2654
"074","Corylus avellana",199
"075","Juglans regia",231
"076","Acer campestre",1813
"077","Tilia spp.",151
"078","Sorbus spp.",205
"079","Platanus hispanica",766
"081","Myrica faya",445
"082","Ilex canariensis",365
"084","Persea indica",242
"085","Sideroxylon marmulano",0
"086","Picconia excelsa",29
"087","Ocotea foetens",0
"088","Apollonias barbujana",11
"089","Otras laurisilvas",8
"092","Robinia pseudoacacia",1573
"094","Laurus nobilis",223
"095","Prunus spp.",511
"096","Rhus coriaria",2
"097","Sambucus nigra",27
"098","Carpinus betulus",0
"099","Otras frondosas",0
"207","Acacia melanoxylon",603
"215","Crataegus monogyna",288
"217","Cedrus deodara",17
"219","Tetraclinis articulata",1
"235","Larix decidua",601
"236","Cupressus arizonica",273
"237","Juniperus oxycedrus",922
"238","Juniperus turbinata",6
"243","Quercus pubescens",9013
"244","Quercus lusitanica",0
"253","Tamarix canariensis",0
"255","Fraxinus excelsior",1977
"256","Ulmus glabra",113
"257","Salix alba",403
"258","Populus x canadensis",17587
"264","Eucalyptus viminalis",291
"268","Arbutus canariensis",3
"273","Betula alba",5579
"275","Juglans nigra",1
"276","Acer monspessulanum",180
"277","Tilia cordata",109
"278","Sorbus aria",262
"279","Platanus orientalis",1
"281","Myrica rivas-martinezii",0
"282","Ilex platyphylla",33
"289","Pleiomeris canariensis",0
"292","Sophora japonica",0
"293","Pistacia atlantica",0
"294","Laurus azorica",681
"299","Ficus carica",1
"307","Acacia dealbata",199
"315","Crataegus laevigata",0
"317","Cedrus libani",51
"319","Thuja spp.",4
"335","Larix leptolepis",1
"336","Cupressus lusitanica",9
"337","Juniperus cedrus",3
"344","Quercus alpestris",0
"355","Fraxinus ornus",0
"356","Ulmus pumila",5
"357","Salix atrocinerea",484
"364","Eucalyptus gomphocephalus",727
"373","Betula pendula",592
"376","Acer negundo",9
"377","Tilia platyphyllos",155
"378","Sorbus aucuparia",376
"389","Rhamnus glandulosa",4
"392","Gleditsia triacanthos",11
"395","Prunus avium",619
"399","Morus spp.",1
"415","Crataegus laciniata",1
"435","Larix x eurolepis",0
"436","Cupressus macrocarpa",31
"455","Fraxinus spp.",4
"456","Ulmus spp.",4
"457","Salix babylonica",5
"464","Eucalyptus robusta",87
"469","Phoenix canariensis",127
"476","Acer opalus",436
"478","Sorbus domestica",8
"489","Visnea mocanera",0
"495","Prunus lusitanica",27
"499","Morus alba",0
"515","Crataegus azarolus",0
"557","Salix cantabrica",1
"569","Dracaena draco",0
"576","Acer pseudoplatanus",391
"578","Sorbus torminalis",89
"595","Prunus padus",3
"599","Morus nigra",0
"657","Salix caprea",246
"676","Acer platanoides",32
"678","Sorbus latifolia",5
"757","Salix elaeagnos",11
"776","Acer spp.",3
"778","Sorbus chamaemespilus",1
"857","Salix fragilis",67
"858","Salix canariensis",1
"957","Salix purpurea",1
"012_016","Malus sylvestris and Pyrus spp.",73
"045_245","Quercus ilex ssp. ballota and Quercus ilex ssp. ilex",14981
