"model","term","estimate","std.error","statistic","p.value"
"power_model","a",2.24903214199887,1.15994182905121,1.93891804370784,0.0763877207473618
"power_model","b",0.455529377034232,0.203673606765916,2.23656557306306,0.0450749669978972
"elmamoun_2013_M18","a",1.30320431022822,0.882206043209389,1.47721081742681,0.165376914679392
"elmamoun_2013_M18","b",1.56673805871125,0.704775007219376,2.22303294336822,0.0461859466944887
"elmamoun_2013_M1","a",1.41540612952092,0.901161850337865,1.57064586010854,0.142245540088693
"elmamoun_2013_M1","b",0.557871810330623,0.249620081722557,2.23488353373218,0.0452116624484055
"hui_gadow_1993_III","a",1.41540612952092,0.901161850337865,1.57064586010854,0.142245540088693
"hui_gadow_1993_III","b",0.557871810330623,0.249620081722557,2.23488353373218,0.0452116624484055
"elmamoun_2013_M12","a",13.3590525397007,7.79799239656997,1.71313998017962,0.112378798865175
"elmamoun_2013_M12","b",16.0191632583224,16.6003046963498,0.964992122213561,0.353593904503446
"linear_model_II","a",-0.940197489036688,3.58563708333066,-0.262212116615927,0.797604974888101
"linear_model_II","b",3.21147743443772,1.46242397851257,2.19599615544058,0.0484837990174008
"hyperbolic_model_I","a",13.1817051482392,5.14551013493777,2.56178781161776,0.0249194011192012
"hyperbolic_model_I","b",10.4329496349141,8.76938976294614,1.18970075648788,0.257170727254271
"elmamoun_2013_M7","a",1.42597116381667,0.657252815170955,2.16959308640735,0.0508318774002779
"elmamoun_2013_M7","b",0.297794877764314,0.0542243294008571,5.49190522141537,0.000138038079755096
"elmamoun_2013_M13","a",1.42597116381667,0.657252815170955,2.16959308640735,0.0508318774002779
"elmamoun_2013_M13","b",0.297794877764314,0.0542243294008571,5.49190522141537,0.000138038079755096
"elmamoun_2013_M6","a",11.2762716719207,4.10650620802036,2.74595266650204,0.0177347426321797
"elmamoun_2013_M6","b",4.78843371643076,3.05293813567679,1.5684673267607,0.142751325660632
"linear_model_I","a",3.83727711102853,1.45250494717738,2.64183410768096,0.0215008234899945
"linear_model_I","b",0.25518801525552,0.116555734437774,2.18940763821241,0.0490599363022773
"elmamoun_2013_M14","a",0.383138205571818,0.0520015871025377,7.36781754019043,8.64263853567987e-06
"elmamoun_2013_M14","b",1.35538222948396,0.624305702465556,2.17102330497893,0.0507019812806391
"elmamoun_2013_M10","a",2.36764462551926,0.287950775796336,8.22239363297935,2.83649668112474e-06
"elmamoun_2013_M10","b",-7.97378868599177,3.64843239783673,-2.18553828507819,0.0494013057661732
"wykoff_1982_II","a",2.36764462551926,0.287950775796336,8.22239363297935,2.83649668112474e-06
"wykoff_1982_II","b",-7.97378868599177,3.64843239783673,-2.18553828507819,0.0494013057661732
"wykoff_1982_III","a",2.36764462551926,0.287950775796336,8.22239363297935,2.83649668112474e-06
"wykoff_1982_III","b",-7.97378868599177,3.64843239783673,-2.18553828507819,0.0494013057661732
"hui_gadow_1993_II","a",10.672237322597,3.07307896054598,3.47281585003624,0.00460697858548651
"hui_gadow_1993_II","b",-7.97380315906241,3.64843277428108,-2.18554202650305,0.049400974601126
"elmamoun_2013_M8","a",0.624288735626015,0.0373490141885545,16.7149990217767,1.12033795613784e-09
"elmamoun_2013_M8","b",0.95593818304715,0.439947551048655,2.17284578756851,0.0505369126855533
"elmamoun_2013_M16","a",10.4111147014135,2.89204977609595,3.59990854495862,0.00364652084056821
"elmamoun_2013_M16","b",7.33075210218574,3.36351653878673,2.17949042844013,0.0499393716293966
"elmamoun_2013_M15","a",0.74626455199068,0.0267358036145803,27.912553620932,2.76578540408657e-12
"elmamoun_2013_M15","b",0.679569026149436,0.312709951823653,2.17316085460774,0.0505084274479072
"exponential_model","a",2.45611792298375,0.236668843882282,10.3778675836411,2.39536251597346e-07
"exponential_model","b",-6.45962093936823,2.95034832486863,-2.18944349211914,0.0490567835841948
"elmamoun_2013_M2","a",10.1683004759574,2.72649023206328,3.72944687509939,0.00287682914139376
"elmamoun_2013_M2","b",-6.73636260929854,3.09968064335111,-2.1732440804017,0.0505009055279596
"schumacher_1939","beta0",10.168299925341,2.72649007331217,3.72944689029746,0.00287682906160083
"schumacher_1939","beta1",-6.73636195978433,3.09968059119512,-2.17324390742694,0.0505009211602645
"elmamoun_2013_M17","a",2.31927524453034,0.268136269902894,8.64961403904912,1.67590556954743e-06
"elmamoun_2013_M17","b",-6.73636453738731,3.09968067978359,-2.17324467688641,0.0505008516216846
"pearl_1920","beta0",10.5911465007224,10.6296247584581,0.996380092561117,0.340478861721914
"pearl_1920","beta1",2.08117875290704,1.4557704520363,1.42960639845103,0.180611238434302
"pearl_1920","beta2",0.115683482531162,0.262683480221793,0.440391159860859,0.668182619516893
"huang_1992_VII","a",10.5903340425354,10.6249353731806,0.996743384366126,0.340310168159297
"huang_1992_VII","b",2.08118406704284,1.45594041050547,1.42944316403739,0.180657039751213
"huang_1992_VII","c",0.115703581580239,0.26269735700989,0.440444406815571,0.668145223120331
"logistic_model","a",10.5903340425354,10.6249353731806,0.996743384366126,0.340310168159297
"logistic_model","b",2.08118406704284,1.45594041050547,1.42944316403739,0.180657039751213
"logistic_model","c",0.115703581580239,0.26269735700989,0.440444406815571,0.668145223120331
"gompertz_model","a",11.3313941332264,16.3285156303126,0.693963516940305,0.502097414191929
"gompertz_model","b",-1.27545663408737,0.608567769098871,-2.09583336293999,0.0600317285531212
"gompertz_model","c",0.080546655443018,0.263827893674092,0.305299998121191,0.765837121562223
"monomolecular_model","a",12.8217621926949,32.1983178446337,0.39821217538642,0.698093796866101
"monomolecular_model","b",0.792548787866711,0.228883385469095,3.46267504844175,0.00530806520104508
"monomolecular_model","c",0.0461379784645007,0.266769788652267,0.172950537981051,0.865831601070421
"ratkowsky_1990","a",2.77875349192271,3.18049192528111,0.87368669916592,0.400960488371969
"ratkowsky_1990","b",-22.9393310589101,145.433929043096,-0.15773025737421,0.877527499161161
"ratkowsky_1990","c",10.0006229254795,70.9728248736894,0.140907776226713,0.890490080131534
"huang_1992_I","a",17.6998960353893,55.181078223403,0.320760242555075,0.754403439987301
"huang_1992_I","b",22.5098163631893,156.081692372412,0.144218172042117,0.887936480569642
"huang_1992_I","c",12.1763432945044,85.2844670132423,0.142773282415117,0.889050889605443
"elmamoun_2013_M5","a",1.17208817217443,3.06445513956273,0.382478489256553,0.70939339494822
"elmamoun_2013_M5","b",0.663011545974894,1.43480394855284,0.46209208348194,0.653020471506111
"elmamoun_2013_M5","c",-0.00225085096177922,0.0303128742857939,-0.0742539602334604,0.942141431432416
"elmamoun_2013_M4","a",-2.39154243638786,26.2632568743779,-0.0910603908657275,0.92908167147724
"elmamoun_2013_M4","b",1.60078364533419,4.45493972619557,0.359327789761417,0.726152557153134
"elmamoun_2013_M4","c",0.0594000530246943,0.175860723898712,0.337767590783409,0.74189628543871
"strand_1958","a",0.0583006547346647,0.121742016208205,0.478886883514056,0.641396965657602
"strand_1958","b",1.24046599453855,3.04401410109576,0.407509936991429,0.691451857225865
"strand_1958","c",-2.63197994987792,17.7127276882812,-0.148592582474988,0.8845641532798
"elmamoun_2013_M19","a",14.8496951447896,139.174614775491,0.106698302479545,0.916949399621832
"elmamoun_2013_M19","b",-0.0793493408339359,0.488625392194903,-0.162392994922959,0.87394107371713
"elmamoun_2013_M19","c",0.726838325717481,2.45992334214695,0.295471941448028,0.773136091223347
"yang_1978","a",14.8496951447896,139.174614775491,0.106698302479545,0.916949399621832
"yang_1978","b",-0.0793493408339359,0.488625392194903,-0.162392994922959,0.87394107371713
"yang_1978","c",0.726838325717481,2.45992334214695,0.295471941448028,0.773136091223347
"elmamoun_2013_M11","a",3.43010809978619,16.1719790643464,0.212101937934633,0.835906478084819
"elmamoun_2013_M11","b",2.22924413483844,3.42042459827271,0.651744855291997,0.527948209916249
"elmamoun_2013_M11","c",0.47771193404095,3.39830263090503,0.140573688080784,0.890747864284245
"elmamoun_2013_M22","a",0.73583398845992,3.37221830251697,0.218204731262714,0.831264870607298
"elmamoun_2013_M22","b",0.83919652018383,3.31604721421319,0.253071342466682,0.804880268153128
"elmamoun_2013_M22","c",0.0410602479749663,0.590004337797395,0.0695931289730046,0.945766540005914
"huang_1992_IV","a",2.04841722206162,10.9028828150277,0.187878495698242,0.854392807710962
"huang_1992_IV","b",0.531957767478558,4.41735773227571,0.120424425577257,0.906318395874653
