"model","bic","r_squared","rmse","mae","aic"
"elmamoun_2013_M12",120.412699767936,0.464011196564405,2.43764159931822,1.68526116970561,116.878538276892
"hyperbolic_model_I",120.451855349832,0.463136026450787,2.43963089548498,1.68182549420101,116.917693858788
"elmamoun_2013_M18",120.485777682525,0.462376669998332,2.4413556292545,1.69114137211442,116.951616191481
"elmamoun_2013_M7",120.528151262681,0.461426622172989,2.44351176786658,1.680384872785,116.993989771637
"elmamoun_2013_M13",120.528151262681,0.461426622172989,2.44351176786658,1.680384872785,116.993989771637
"elmamoun_2013_M6",120.528151262693,0.461426622172712,2.4435117678672,1.68038478146682,116.993989771649
"linear_model_II",120.535905399174,0.461252586914933,2.44390653566388,1.67399020643758,117.00174390813
"elmamoun_2013_M14",120.585350187925,0.460141515625712,2.44642530028025,1.67858131886238,117.051188696882
"power_model",120.623195042098,0.459289558022215,2.44835490687975,1.7040064529993,117.089033551054
"elmamoun_2013_M1",120.723517931255,0.457024592667332,2.45347746736859,1.71036083003487,117.189356440211
"hui_gadow_1993_III",120.723517931255,0.457024592667332,2.45347746736859,1.71036083003487,117.189356440211
"elmamoun_2013_M8",120.731521034055,0.456843500475155,2.45388657298111,1.67399484289797,117.197359543011
"hui_gadow_1993_II",120.763106706331,0.45612819808497,2.4555018472324,1.67261232804675,117.228945215288
"elmamoun_2013_M10",120.763106706347,0.456128198084616,2.4555018472332,1.67261219275356,117.228945215303
"wykoff_1982_II",120.763106706347,0.456128198084616,2.4555018472332,1.67261219275356,117.228945215303
"wykoff_1982_III",120.763106706347,0.456128198084616,2.4555018472332,1.67261219275356,117.228945215303
"elmamoun_2013_M15",120.796784157923,0.455364486701636,2.45722526517744,1.67193231548676,117.262622666879
"elmamoun_2013_M16",120.836994409347,0.454451224741494,2.45928457856684,1.67041051745021,117.302832918303
"exponential_model",120.914145880286,0.452694657447699,2.46324062000479,1.66712087563112,117.379984389242
"elmamoun_2013_M2",120.917562323056,0.452616742011274,2.46341594959032,1.66809394334818,117.383400832012
"schumacher_1939",120.917562323059,0.452616742011212,2.46341594959045,1.66809402226821,117.383400832015
"elmamoun_2013_M17",120.917562323115,0.452616742009928,2.46341594959334,1.66809375480851,117.383400832071
"linear_model_I",121.413310758424,0.44119230585174,2.48899017630216,1.7467406412705,117.87914926738
"elmamoun_2013_M5",123.403349304481,0.468180173759904,2.42814297677694,1.68192531771967,118.691133983089
"huang_1992_VII",123.41217062759,0.467984664726801,2.42858925598693,1.70095233113849,118.699955306198
"logistic_model",123.41217062759,0.467984664726801,2.42858925598693,1.70095233113849,118.699955306198
"pearl_1920",123.412170635507,0.467984664551309,2.42858925638748,1.70096069593223,118.699955314115
"gompertz_model",123.466278819147,0.466783878825039,2.43132843650371,1.69280148089222,118.754063497755
"huang_1992",123.4662788194,0.466783878819418,2.43132843651653,1.69280161427504,118.754063498008
"seber_1989",123.466278822021,0.466783878761192,2.43132843664927,1.692795923558,118.754063500629
"monomolecular_model",123.527262162858,0.465427268417068,2.43441936911755,1.68526912911357,118.815046841467
"richards_1959",123.553353447753,0.464845798679204,2.43574300235495,1.68326087917086,118.841138126362
"ratkowsky_1990",123.584329723399,0.464154640908494,2.4373153898003,1.68701690439031,118.872114402007
"elmamoun_2013_M22",123.586701161455,0.464101691456039,2.43743580824304,1.68498594458095,118.874485840063
"strand_1958",123.589362061927,0.464042272659614,2.43757093228191,1.68537767215612,118.877146740535
"elmamoun_2013_M4",123.589797755091,0.46403254285804,2.43759305806968,1.68492027082836,118.877582433699
"elmamoun_2013_M11",123.599764851109,0.463809911669521,2.43809927154291,1.68527084612809,118.887549529718
"peschel_1938",123.602211152047,0.463755255454213,2.43822353147043,1.68337708594513,118.889995830655
"ratkowsky_1986",123.602211164949,0.463755255165937,2.4382235321258,1.68337435851048,118.889995843557
"huang_1992_IV",123.618940890395,0.463381323712824,2.43907348878467,1.68223539949082,118.906725569003
"larsen_hann_1987",123.864771088706,0.457856532187201,2.45159715447434,1.7086215133327,119.152555767315
"elmamoun_2013_M21",123.977331503493,0.455307898056053,2.45735291700561,1.71451771328627,119.265116182101
"elmamoun_2013_M3",123.983033891516,0.455178464108335,2.45764486726047,1.71463902919903,119.270818570125
"elmamoun_2013_M19",124.156987405085,0.451215217677345,2.46656760813705,1.7199223996375,119.444772083693
"yang_1978",124.156987405085,0.451215217677345,2.46656760813705,1.7199223996375,119.444772083693
"huang_1992_I",126.902667956277,0.38470015408555,2.61177281448446,1.84643033299554,122.190452634885
"logistic_model_1.3",NA,NA,NA,NA,NA
