"model","bic","r_squared","rmse","mae","aic"
"lebedev_M13",4364.08710331267,0.358132375115961,1.91533373355839,1.51670854162405,4344.26854785315
"lebedev_M23",4364.08710346399,0.35813237502328,1.91533373369667,1.51670997038277,4344.26854800447
"elmamoun_2013_M5",4364.59702087225,0.357819990372044,1.91579975508255,1.51768163938248,4344.77846541272
"pearl_1920",4365.04729218967,0.357544019603558,1.91621135925388,1.51828510158207,4345.22873673015
"huang_1992_VII",4365.04729240034,0.357544019474416,1.91621135944648,1.51828560544623,4345.22873694081
"logistic_model",4365.04729240034,0.357544019474416,1.91621135944648,1.51828560544623,4345.22873694081
"lebedev_M28_b",4366.64105585163,0.356566250553117,1.91766896871395,1.52072199985636,4346.8225003921
"gompertz_model",4367.29535971038,0.356164406435262,1.9182676968012,1.5216869905117,4347.47680425085
"seber_1989",4367.29535972722,0.356164406424911,1.91826769681662,1.52168760579057,4347.4768042677
"huang_1992",4367.29535981387,0.356164406371683,1.91826769689592,1.52168788119006,4347.47680435434
"monomolecular_model",4370.22860384341,0.35435985267454,1.92095409302079,1.52572536182233,4350.41004838389
"elmamoun_2013_M22",4371.17223867518,0.353778246851658,1.92181911558496,1.52649037357603,4351.35368321566
"elmamoun_2013_M15",4366.40489447905,0.352428100414722,1.92382568944388,1.52950763728661,4351.54097788441
"elmamoun_2013_M16",4366.41238315144,0.352423473056769,1.92383256297731,1.52949698947279,4351.5484665568
"elmamoun_2013_M10",4366.43808038122,0.352407594118954,1.92385614955673,1.52968967166682,4351.57416378657
"wykoff_1982_II",4366.43808038122,0.352407594118954,1.92385614955673,1.52968967166682,4351.57416378657
"wykoff_1982_III",4366.43808038122,0.352407594118954,1.92385614955673,1.52968967166682,4351.57416378657
"hui_gadow_1993_II",4366.43808038122,0.352407594118954,1.92385614955673,1.52968967163202,4351.57416378657
"elmamoun_2013_M8",4366.4436985579,0.352404122460264,1.92386130632116,1.52965843716352,4351.57978196326
"elmamoun_2013_M2",4366.61654044088,0.352297308603793,1.92401995971885,1.52947330991213,4351.75262384623
"elmamoun_2013_M17",4366.61654044088,0.352297308603793,1.92401995971885,1.52947330984158,4351.75262384623
"schumacher_1939",4366.61654044088,0.352297308603792,1.92401995971885,1.52947330908661,4351.75262384623
"exponential_model",4366.70921282624,0.352240031115815,1.92410503007236,1.52976514700965,4351.8452962316
"elmamoun_2013_M11",4371.85120420983,0.353359444887133,1.92244175886194,1.52735277191983,4352.0326487503
"huang_1992_IV",4372.00217812825,0.353266283731881,1.92258023644706,1.52726011547963,4352.18362266873
"elmamoun_2013_M4",4372.04823874319,0.353237858534068,1.92262248654295,1.52731145002895,4352.22968328367
"elmamoun_2013_M14",4367.16323958727,0.35195934020304,1.92452186680842,1.53092807646528,4352.29932299263
"peschel_1938",4372.32142943181,0.353069239806649,1.92287309569961,1.52801511236599,4352.50287397229
"elmamoun_2013_M7",4367.86052452569,0.351528024029358,1.92516221191839,1.53188972201223,4352.99660793104
"elmamoun_2013_M13",4367.86052452569,0.351528024029358,1.92516221191839,1.53188972201223,4352.99660793104
"elmamoun_2013_M6",4367.86052452573,0.35152802402933,1.92516221191844,1.53188971121587,4352.99660793109
"strand_1958",4373.31746726909,0.352454093030455,1.9237870792419,1.52921991206296,4353.49891180956
"ratkowsky_1990",4373.34194502738,0.352438968357457,1.92380954597381,1.52952221093182,4353.52338956785
"lundqvist_1989",4373.5645332278,0.352301416112312,1.92401385897154,1.52954527011473,4353.74597776828
"huang_1992_I",4373.56647900772,0.352300213554996,1.92401564509237,1.52980240879598,4353.7479235482
"flewelling_jong_1994",4374.20032054736,0.351908359352629,1.92459756563253,1.53033615575796,4354.38176508784
"hyperbolic_model_I",4369.98733425387,0.350210679655749,1.9271166640859,1.53417516897851,4355.12341765923
"linear_model_II",4372.52935514472,0.34863264252043,1.92945528175092,1.53614404467724,4357.66543855008
"elmamoun_2013_M12",4374.65694410647,0.347308930993356,1.93141481034953,1.53881954448942,4359.79302751183
"elmamoun_2013_M18",4381.27126119047,0.343176528490672,1.93751937529335,1.54382234795047,4366.40734459583
"power_model",4390.25210752489,0.337523686827089,1.9458389819992,1.55085076466687,4375.38819093024
"elmamoun_2013_M1",4395.25889718557,0.33435115310964,1.95049263265919,1.55502517131369,4380.39498059093
"hui_gadow_1993_III",4395.25889718557,0.33435115310964,1.95049263265919,1.55502517131369,4380.39498059093
"larsen_hann_1987",4400.40134676624,0.335501190670895,1.94880697699879,1.55256200414333,4380.58279130672
"elmamoun_2013_M19",4405.07490690544,0.332531238270937,1.95315718134029,1.55641272968947,4385.25635144592
"yang_1978",4405.07490690544,0.332531238270937,1.95315718134029,1.55641272968947,4385.25635144592
"elmamoun_2013_M21",4405.57198192815,0.332214577253942,1.95362043553005,1.55662242630684,4385.75342646862
"elmamoun_2013_M3",4405.86597812337,0.3320272166491,1.95389448002339,1.5567897917889,4386.04742266384
"linear_model_I",4424.75576384943,0.315349739196755,1.97813583821747,1.57413689496733,4409.89184725478
"lebedev_M19",4493.39386889979,0.273842880852504,2.03721573533908,1.62064056513737,4473.57531344027
"lebedev_M3",4821.78759340219,-2.63291171087587e-08,2.39068153928502,1.91222360512745,4806.92367680755
"lebedev_M16_b",4821.78759874359,-3.14258723488336e-08,2.39068154537738,1.91222361353542,4806.92368214895
"lebedev_M4",4821.78840053594,-7.96495224886229e-07,2.39068245989577,1.91222430711281,4806.9244839413
"lebedev_M9",4834.84919101925,-0.0125413744661562,2.40562601365725,1.92236767785717,4819.9852744246
"lebedev_M5",4836.45594956301,-0.0140949596794826,2.40747083333811,1.91870300948311,4821.59203296837
"lebedev_M8",5756.16890645887,-1.43899299880605,3.7335932187083,3.03273219967565,5741.30498986422
"lebedev_M29_b",6707.70325023501,-5.00685766680239,5.85929538870502,5.34662400806352,6687.88469477549
