"climate_region","Stand_origin","Species_mixture","dbh_min","dbh_max","dbh_mean","dbh_sd","h_min","h_max","h_mean","h_sd"
"Alpina","artificial","mix",7.5,46.75,20.4903225806452,6.97024849918158,3.5,22.5,10.9918202824307,3.79169126400501
"Alpina","artificial","pure",7.5,62.7,20.8864830642608,7.43345628018521,3,31,12.0262741366456,4.87016154453007
"Alpina","natural","mix",7.5,117.1,27.3625577219087,13.2594171189133,2.5,39.5,13.9380822108508,5.23066969432914
"Alpina","natural","pure",7.5,130.5,27.2097564591275,12.0423342813162,1,41.5,13.7772903462549,5.26936179933914
"Atlántica","artificial","mix",7.5,106.3,26.9305706218887,13.3384229398974,2.5,59.0999984741211,18.0250761570694,7.15124027336441
"Atlántica","artificial","pure",6.85,118.7,27.9447115453593,13.1319878695691,2,54.2000007629395,19.0777679038364,7.56901141572016
"Atlántica","natural","mix",7.5,143.9,29.9705368618792,15.505411135785,3,52,16.7770032654314,5.96378556976663
"Atlántica","natural","pure",7.3,137,30.5365692172647,15.2089891732941,2.5,49.5999984741211,16.9728662145447,6.10834925519397
"Macaronésica","artificial","mix",8,91.7,34.3259336099585,13.779198884247,4,39.9000015258789,17.0834024789422,6.27898307136838
"Macaronésica","artificial","pure",7.55,85.3,28.302371031746,10.8556890226651,2.9,34.2000007629395,15.9401388872616,5.92334022966044
"Macaronésica","natural","mix",7.5,123.2,32.8673083593479,19.3093738702715,3,37.2999992370606,16.1407214519509,6.06044840995632
"Macaronésica","natural","pure",6.7,178.2,35.1827869077718,17.1469178536088,2.5,50.5,15.9080202098127,6.15079945341305
"Mediterránea","artificial","mix",7.2,130.5,20.9320815886825,8.63144135796218,2.5,41.7999992370606,10.7982702574782,4.40994470639582
"Mediterránea","artificial","pure",7.5,108.5,21.3538213870237,8.08431118876648,2.2,47,11.6323738819393,5.37976638066033
"Mediterránea","natural","mix",7.5,140,25.2376704252909,11.9684079851357,2,43.0999984741211,11.8051417494932,4.49385055300817
"Mediterránea","natural","pure",6.75,174,25.3740270332635,11.6534221650343,1.5,44.2000007629395,11.9399860332346,4.600275337417
